date,from,subject,amount,currency,attachments,drive_urls,msg_id
2026-02-04,"""MainFunc PTE. LTD."" <invoice+statements+acct_1Q2SePHy7UpDvrVi@stripe.com>",MainFunc PTE. LTD. からの領収書 (領収書番号 2458-4720),314,JPY,"Invoice-F3B6E672-0011.pdf, Receipt-2458-4720.pdf","https://drive.google.com/file/d/1ofeasiXEIq38ISD7LaxLdlQnifMMH9Ta/view?usp=drivesdk
https://drive.google.com/file/d/1RsPt8QQxzCsRJgBm9ZXXTeDry0yR0oaP/view?usp=drivesdk",19c2ad75c81b7a14
2026-02-04,X <invoice+statements+acct_1Ika5JA3KZ32dPo1@stripe.com>,Your receipt from X #2255-6359-5677,918,JPY,"Invoice-ZKMCF8WO-0008.pdf, Receipt-2255-6359-5677.pdf","https://drive.google.com/file/d/19rSXGIyG2jMfHIjrZSn6WFf43EHKbI6Z/view?usp=drivesdk
https://drive.google.com/file/d/1W5KH5sxuMdybtEWD7tUOwcunlvtu3TZA/view?usp=drivesdk",19c269ebaf81b0d0
2026-02-02,"""植田 美香（Chatwork アシスタント）"" <news@ns.chatwork.com>",【経理業務まるごと】リモートバックオフィスにおまかせ！,,,,,19c20ad31f6c7d7e
2026-02-01,X <invoice+statements+acct_1Ika5JA3KZ32dPo1@stripe.com>,Your receipt from X #2954-8844-6226,918,JPY,"Invoice-8ANKTV9U-0003.pdf, Receipt-2954-8844-6226.pdf","https://drive.google.com/file/d/1NPIGQP0ZxFcjOn98CBZfw0I6IEEqM1ex/view?usp=drivesdk
https://drive.google.com/file/d/1XVvtL-3tMEwIqZASCRufJk1MEKOASm3V/view?usp=drivesdk",19c18009c7063acf
2026-01-30,studio veco <invoice+statements+acct_1MnjcQG207ugzMIr@stripe.com>,studio veco からの領収書 (領収書番号 2621-1000),5000,JPY,"Invoice-EYTSOGYB-0003.pdf, Receipt-2621-1000.pdf","https://drive.google.com/file/d/1ZYHmwQVlmWnwkBrVNHf_9EIYwLjHn9a_/view?usp=drivesdk
https://drive.google.com/file/d/1py2zpKwaSiO_uqKnYsDyUJioNM6o_KtG/view?usp=drivesdk",19c0e39ac3543f49
2026-01-28,"""Trip.com"" <jp_flt_noreply@trip.com>",航空券予約確認書： 東京 - ロサンゼルス,,,"旅程表（eチケットお客様控え）.pdf, 電子領収書.pdf","https://drive.google.com/file/d/177u3TTkyD-U1iXSXkf63mY4ATAP1GDDE/view?usp=drivesdk
https://drive.google.com/file/d/1A3Fjn4Nyz0isdt4hJbUgCYdyVNyH2xn4/view?usp=drivesdk",19c0499e3038e44f
2026-01-28,"""Trip.com"" <jp_flt_noreply@trip.com>",お支払いが完了しました,54754,JPY,,,19c04966d9f0e3d0
2026-01-28,"""Trip.com"" <jp_flt_noreply@trip.com>",お支払いに失敗しました,54840,JPY,,,19c0495d3e8db0cf
2026-01-28,"""Trip.com"" <jp_flt_noreply@trip.com>",お支払いに失敗しました,54840,JPY,,,19c0494b56713eb7
2026-01-28,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,3,JPY,,,19c03afe9e0eba47
2026-01-28,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,86,JPY,,,19c03afe9dffd936
2026-01-28,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,217,JPY,,,19c03a40f3eee1b2
2026-01-27,"""桜井祐実（株式会社kubell）"" <news@ns.chatwork.com>",月末の支払いがピンチ？！緊急時のあなたを救う資金調達手段とは？,,,,,19bfea4f2ae8c271
2026-01-27,Apple Store <applefukuoka@email.apple.com>,Apple 福岡からの領収書です,,,EmailReceipt_20260127R0481215418_ja_JP.pdf,https://drive.google.com/file/d/1xlABnABafBBl1G_BLu-lP7jMZt_QB95P/view?usp=drivesdk,19bfdb39e3970d0b
2026-01-26,"""ヤマダデンキ "" <noreply@tpgaw.jp>",ヤマダデンキでのお買い物なら便利でお得なヤマダPayがおすすめ！,,,,,19bf8c028ab712e5
2026-01-26,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,28,JPY,,,19bf7be62611498d
2026-01-26,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,10,JPY,,,19bf7be5e70f472d
2026-01-21,"""植田美香（Chatwork）"" <news@ns.chatwork.com>",【銀行融資が通らない？】それ、むしろチャンスです,,,,,19be2e89e4e8ec8a
2026-01-16,Aqua Voice <invoice+statements+acct_1OnZwWBmfy315IEC@stripe.com>,Aqua Voice からの領収書 (領収書番号 2569-4866),9,USD,"Invoice-SXT4Z1LN-0003.pdf, Receipt-2569-4866.pdf","https://drive.google.com/file/d/1glkGAwYrJNOBmtq9a-T23YCVaVQu5Bxz/view?usp=drivesdk
https://drive.google.com/file/d/1IDtHk2N9dTmC9BVxxF_XKKqObQm8gpmD/view?usp=drivesdk",19bc4f05f47f1de9
2026-01-10,Paddle <help@paddle.com>,iMobie Inc. の領収書,6468,JPY,invoice_5306-25617_iMobie-Inc-.pdf,https://drive.google.com/file/d/1NIZum4CAvRSK0XQQOpm_mbWXWsWwQbff/view?usp=drivesdk,19ba726665ea1ef9
